OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1408 DEB,1982-092BYC,2023-07-14T21:28:15.131712,15.18796038,.0101249,82.5699,258.7836,146.3163,214.4563,0,U,52517,999,7109,.13154E-2,.31467E-3,0
COSMOS 1408 DEB,1982-092BYD,2023-07-28T06:20:31.941312,15.69059248,.0008519,82.4936,208.5993,275.9469,84.0821,0,U,52518,999,7179,.88779E-3,.103744E-2,0
COSMOS 1408 DEB,1982-092BZV,2023-07-26T19:06:20.280384,15.33671644,.0073474,82.5157,235.1632,67.0580,293.8394,0,U,52808,999,6925,.16244E-2,.5804E-3,0
COSMOS 1408 DEB,1982-092CAB,2023-07-28T17:57:51.764256,15.47325314,.0045787,82.4620,214.8016,342.3266,17.6387,0,U,52814,999,6785,.75538E-3,.4035E-3,0
COSMOS 1408 DEB,1982-092CAL,2023-07-28T20:24:46.002816,15.32226516,.0077404,82.8224,259.4943,94.3236,266.6856,0,U,52825,999,6715,.12382E-2,.42545E-3,0
COSMOS 1408 DEB,1982-092CBQ,2023-07-25T18:49:42.433824,15.33465689,.0065106,82.4234,224.9931,66.4800,294.3264,0,U,57270,999,3972,.11152E-2,.38774E-3,0
COSMOS 1408 DEB,1982-092CBR,2023-07-04T23:00:18.789984,15.18583018,.0126253,82.6070,271.2640,154.2160,206.5443,0,U,57271,999,1,.1284E-2,.3292E-3,0
COSMOS 1408 DEB,1982-092CBS,2023-07-05T23:15:11.791872,15.04648640,.0164974,82.5415,275.5071,196.6597,162.9176,0,U,57272,999,1,.11573E-2,.22143E-3,0
COSMOS 1408 DEB,1982-092CBT,2023-07-06T04:26:49.246080,14.57886215,.0371097,82.9064,353.8909,45.3443,317.7377,0,U,57273,999,1,.38224E-2,.4643E-3,0
COSMOS 1408 DEB,1982-092CBU,2023-06-30T12:32:11.962752,15.10387310,.0159068,82.5274,278.5488,205.0284,154.3178,0,U,57274,999,1,.1475E-2,.32937E-3,0
